"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
1999,"Battles","Byel Militia (Sudan)","Matiep Militia","Sudan","Western Upper Nile","Bau",8.81,34.03,633400,19990502,68.4,"LEKEMTE",36.45,9.08,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Junglei","Akobo",7.78,33.01,634030,20090922,68.69,"GORE",35.53,8.14,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Singa",12,34,633400,19970122,69.8,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Singa",12,34,633400,19970122,69.8,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","Tigray Militia (Ethiopia)","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ar Rusayris",11.85,34.38,633400,19970122,69.8,"LEKEMTE",36.45,9.08,"M"
2002,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","Eastern Equatoria","Magwe",4.13,32.28,636300,20020511,69.8,"GULU",32.33,2.75,"C"
2006,"Battles","LRA: Lord's Resistance Army","UNMIS: United Nations Mission in Sudan","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20060322,69.8,"ARUA",30.91,3.04,"C"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","Northern Darfur","Tinah",13.46,24.76,627900,20040113,70.69,"NYALA",24.88,12.05,"C"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20040113,70.69,"NYALA",24.88,12.05,"C"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Kassala","Gedamaieb",16.45,36.88,633300,19970117,71.19,"MAKALE",39.48,13.5,"M"
2006,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","Gulu District","Pajok",6.11,34.06,634030,20060928,71.19,"GORE",35.53,8.14,"M"
2006,"Battles","Military Forces of Sudan (1989-)","NRF: National Redemption Front","Sudan","Darfur","Anka",14.68,24.85,627900,20070101,71.59,"NYALA",24.88,12.05,"C"
2007,"Battles","Murle Ethnic Militia","Dinka Ethnic Militia","Sudan","Jonglei","Bor",7.66,33.63,634030,20071128,72,"GORE",35.53,8.14,"M"
1997,"Riots","Military Forces of Eritrea (1993-)","Military Forces of Sudan (1989-)","Sudan","Kassala","Gedamaieb",16.45,36.88,633300,19970311,72.69,"MAKALE",39.48,13.5,"M"
2002,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","Eastern Equatoria","Lafon",5.03,32.45,636300,20020803,72.69,"GULU",32.33,2.75,"C"
2008,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","Equatoria","Nabanga",4.57,28.41,636020,20080605,73,"ARUA",30.91,3.04,"C"
2008,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Equatoria","Nabanga",4.57,28.41,636020,20080605,73,"ARUA",30.91,3.04,"C"
1998,"Riots","Rioters (Sudan)","","Sudan","Khartoum","Khartoum",15.54,32.53,627210,19980119,73.4,"KHARTOUM",32.54,15.6,"C"
1999,"Battles","ULA: Ummah Liberation Army","Military Forces of Sudan (1989-)","Sudan","Al Gedarif","Shaqarab",14.83,35.84,627330,19990109,73.4,"HALFA EL GAIDIDA",35.59,15.31,"C"
2002,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Upper Nile","Yabus",9.86,33.58,628400,20021007,73.4,"MALKAL",31.64,9.55,"C"
2007,"Battles","Military Forces of Sudan (1989-)","NRF: National Redemption Front","Sudan","Darfur","Anka",14.68,24.85,627600,20070117,73.4,"EL FASHER",25.33,13.61,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Upper Nile","Nuer",8.51,33.45,634030,20091017,73.4,"GORE",35.53,8.14,"M"
2005,"Riots","Rioters (Sudan)","","Sudan","East Equatoria","Juba",4.84,31.61,636020,20050802,74.09,"ARUA",30.91,3.04,"C"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","SSDF: South Sudan Defense Forces","Sudan","Central Equatoria","Tali",5.9,30.77,636020,19970706,74.3,"ARUA",30.91,3.04,"C"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Shangil Tobaya",13.01,25.25,627900,20050111,74.5,"NYALA",24.88,12.05,"C"
