Year	Week	StationID	BattlesCount	VACCount	RiotsCount	TotalCount	HighMaxTemp	TempCat
1997	1	603900	0	3	0	3	67.09	M
1997	1	604300	0	1	0	1	43.29	C
1997	1	610520	0	1	0	1	96.8	M
1997	1	612910	0	0	1	1	95	M
1997	1	622590	1	1	0	2	74.09	M
1997	1	623330	1	1	0	2	62.59	C
1997	1	623870	1	0	0	1	71.19	C
1997	1	636580	0	1	0	1	90.69	H
1997	1	636740	9	2	0	11	86	M
1997	1	637260	1	1	0	2	68.69	C
1997	1	643870	1	2	0	3	82	M
1997	1	643900	0	2	0	2	80.59	M
1997	1	646500	6	1	1	8	95	M
1997	1	646580	0	1	0	1	97.69	M
1997	1	648100	1	0	0	1	89.59	H
1997	1	682620	0	1	0	1	83.09	M
1997	1	685880	0	1	0	1	83.69	M
1997	2	601550	0	0	1	1	68	M
1997	2	603900	0	2	0	2	65.8	M
1997	2	610520	0	0	1	1	95.69	M
1997	2	610850	0	0	1	1	95.4	M
1997	2	618340	0	2	0	2	95	H
1997	2	618560	0	2	0	2	86	M
1997	2	633310	3	0	0	3	84.19	H
1997	2	636120	0	2	0	2	97.3	M
1997	2	643870	1	4	0	5	82	M
1997	2	643900	2	0	0	2	86	M
1997	2	680140	0	0	1	1	75.69	C
1997	2	682620	0	0	1	1	87.4	M
1997	2	685880	1	1	0	2	84.4	M
1997	3	603900	0	4	0	4	75.9	M
1997	3	604300	0	1	0	1	55.9	C
1997	3	604680	0	1	0	1	56.79	M
1997	3	610520	0	0	1	1	95.69	M
1997	3	618490	0	0	1	1	90.5	M
1997	3	618560	1	0	0	1	89.59	H
1997	3	633300	1	0	0	1	71.19	M
1997	3	633320	4	3	0	7	80.8	M
1997	3	633400	14	4	2	20	75.19	M
1997	3	636740	1	0	0	1	86	M
1997	3	643870	0	3	0	3	84.9	M
1997	3	643900	7	4	0	11	89.59	H
1997	3	646500	2	0	0	2	92.3	M
1997	3	653870	0	0	1	1	91.4	M
1997	3	655780	0	2	2	4	89.59	M
1997	4	603900	0	2	0	2	71.09	M
1997	4	610520	0	0	1	1	91.59	M
1997	4	610960	0	0	1	1	88.5	C
1997	4	618340	1	0	0	1	90.3	M
1997	4	618560	3	0	0	3	87.8	M
1997	4	623870	1	1	0	2	71.19	C
1997	4	633310	0	0	1	1	76.3	M
1997	4	633400	2	0	1	3	69.8	M
1997	4	636020	0	0	1	1	87.8	H
1997	4	636740	1	0	0	1	82.19	M
1997	4	637140	0	1	0	1	83.69	H
1997	4	637260	4	0	0	4	78.8	H
1997	4	638200	0	1	0	1	90.69	H
1997	4	643870	1	1	0	2	78.8	M
1997	4	643900	0	2	0	2	82.4	M
1997	4	646590	0	0	1	1	88	M
1997	4	674610	1	0	0	1	83.3	M
1997	4	675610	0	0	1	1	81.3	M
1997	4	682620	1	0	0	1	86	M
1997	5	604300	0	3	0	3	61.9	M
1997	5	604450	0	1	0	1	55.79	M
1997	5	618320	1	0	0	1	87.8	M
1997	5	633400	0	0	1	1	78.8	M
1997	5	636020	1	0	0	1	80.09	M
1997	5	636580	0	2	0	2	90.5	H
1997	5	636740	1	0	0	1	86	M
1997	5	637260	0	1	0	1	73.4	M
1997	5	643870	0	3	0	3	83.8	M
1997	5	643900	4	1	0	5	90.5	H
1997	5	644010	0	1	0	1	89.59	M
1997	5	655030	1	0	3	4	91	M
1997	5	683680	1	0	0	1	83.09	H
1997	5	688160	0	1	0	1	78.59	M
1997	6	603900	0	1	0	1	61.5	C
1997	6	610800	1	2	0	3	83.5	C
1997	6	618560	1	0	1	2	87.8	M
1997	6	634030	1	0	0	1	77	H
1997	6	634710	0	1	0	1	83.69	C
1997	6	636020	4	2	0	6	84.19	M
1997	6	637170	0	1	0	1	86	H
1997	6	643870	0	2	0	2	84.59	M
1997	6	643900	4	1	0	5	86.69	M
1997	6	644500	0	0	1	1	81.5	C
1997	6	646590	1	0	0	1	91.4	M
1997	6	648100	1	2	0	3	87.8	M
1997	6	653350	1	0	0	1	100.4	H
1997	6	682420	0	0	1	1	83.8	M
1997	6	682620	0	0	1	1	89.09	H
1997	6	683680	0	0	2	2	83.09	H
1997	6	683960	2	1	1	4	85.09	M
1997	6	685880	0	1	0	1	86.19	H
1997	6	688160	0	0	1	1	79.19	M
1997	7	603900	0	1	0	1	70.3	M
1997	7	610520	0	0	2	2	93.19	M
1997	7	623870	0	1	0	1	68.19	C
1997	7	633310	0	0	1	1	77	M
1997	7	633400	0	0	1	1	79.69	M
